PRES,TEMP,THCK,SWAT,POROM,POROF,PERMM,PERMF,FRACS,VLCH4,PLCH4,VLCO2,PLCO2,QINJ,QPROD,TPROD,PWFPROD,PFRAC,LX,LY,LWELL,LFRAC,SRVPORO,SRVPERM,SRVSPAC,T1,TINJ,Gi
6621.1,194.3,263.1,6.6,7.94,1.75,8.63E-05,0.000156,1.11,184.7,940.5,858.6,337.8,51.9,1499.41,13955.6,3242.75,7734.8,5008.1,1640.81,4144.4,830.7,2.22,0.0011,0.742,52.83,1.80E+04,939779
3058.7,191.9,127.4,5.2,7.41,1,3.28E-05,0.000419,0.98,93.2,646.3,292.5,477,94.1,1376.34,15544.1,799.28,3866.3,6475.3,706.36,4588.4,359.6,1.42,0.0015,0.506,29.11,1.60E+04,1530871
7922.9,178.2,137.6,5.2,9.06,1.78,9.23E-05,0.000736,2.06,157.8,604.9,802.2,703.4,60.5,17291.5,10463,1497,8534.1,4426.9,846.42,3237.7,441.3,2.57,0.0076,1.223,45.3,1.80E+04,1093069
5813.7,199.7,104.1,13.5,6.24,0.94,8.34E-05,0.000709,2.91,89.2,497.2,286.3,730.9,192,4129.43,11991.1,1803.52,7504.8,4628.6,1409.65,2893.6,957.5,1.26,0.0034,1.432,14.27,1.20E+04,2374628
5255.2,191.8,258.4,11.6,8.57,1.53,2.68E-05,0.001081,2.21,185.2,980.9,1063.1,752.1,251.8,13170.4,8824.1,658.02,6663.6,4792.7,746.42,3933.3,486.9,2.12,0.0078,1.122,10.88,1.40E+04,3561988
3608.8,165.7,159.3,7.9,6.74,1.96,8.55E-05,0.000721,1.65,203,802.6,1077.5,925.6,306.4,5975.22,12227.8,1198.9,4995.7,4559.7,1396.69,3605.1,795,2.9,0.0073,1.061,8.94,1.30E+04,3997279
5004.6,179.8,210.8,10.2,5.06,0.89,4.79E-05,0.000926,1.5,207,540.3,537.7,535.5,119.6,5351.48,7482,1867.94,5559.8,7078.8,506.99,4791.5,280.9,1.11,0.0036,0.612,22.91,1.10E+04,1356322
6146.8,191,295.8,13.9,8.3,1.76,9.22E-05,0.000962,2.21,129.6,765.6,325.6,400.9,157.9,6466.54,13208.1,2325.62,8605.3,4466.3,634.17,3069.5,385,2.55,0.0059,0.938,17.35,1.60E+04,2497061
6017.2,183.3,291,9.1,9.13,1.41,4.22E-05,0.00018,0.95,233.7,767.1,1148.1,357.7,16.3,3216.97,8576.5,1364.31,6657.1,6647.3,1226.11,4327.1,845.8,1.92,0.0017,0.682,167.74,3.70E+04,596168
6695.4,180.5,297.4,12.6,7.26,1.62,5.66E-05,0.000594,1.6,75.1,723.3,386.5,693.9,203.1,7813.45,8273.9,3101.02,9733.5,5106.7,481.86,3833.6,359.6,2.34,0.006,1.046,13.49,1.10E+04,2327892
